,Title,CourseType,Source,Link,Content
1,Course in Statistical Analysis in Industrial Systems,Computer Course,Mälardalen University,https://www.onlinestudies.com/Course-in-Statistical-Analysis-in-Industrial-Systems/Sweden/MDH/,"In this course, you will learn state-of-the-art statistical modelling for the purpose of analysing industrial data. The course also presents the basics of relational databases                                            ...                                                    "
2,Introduction to Conversational Interfaces Course - UAL Creative Computing Institute,Computer Course,FutureLearn,https://www.onlinestudies.com/Introduction-to-Conversational-Interfaces-Course-UAL-Creative-Computing-Institute/United-Kingdom/FutureLearn/,Learn how and why conversational interfaces have developed and the ways in which this exciting new technology is evolving.
3,Artificial Intelligence: Implications for Business Strategy Online Short Course,Computer Course,MIT Sloan School of Management (Get Smarter),https://www.onlinestudies.com/Artificial-Intelligence-Implications-for-Business-Strategy-Online-Short-Course/USA/MIT-Sloan-School-of-Management-(Get-Smarter)/,The MIT Artificial Intelligence: Implications for Business Strategy online short course aims to teach you the skills needed to include AI in your business strategy and create                                             ...                                                    
4,Course in Systems-of-Systems Engineering,Computer Course,Mälardalen University,https://www.onlinestudies.com/Course-in-Systems-of-Systems-Engineering/Sweden/MDH/,"In contemporary society, almost everything is getting digital and connected. In the Systems-of-Systems Engineering course, you will learn the principles for how to make these                                             ...                                                    "
5,Introduction to Creative AI Course - UAL Creative Computing Institute,Computer Course,FutureLearn,https://www.onlinestudies.com/Introduction-to-Creative-AI-Course-UAL-Creative-Computing-Institute/United-Kingdom/FutureLearn/,"Explore the ways AI is changing the creative industries, and how you can develop your own career in creative AI."
6,Introduction to Physical Computing Course - Lancaster University,Computer Course,FutureLearn,https://www.onlinestudies.com/Introduction-to-Physical-Computing-Course-Lancaster-University/United-Kingdom/FutureLearn/,Explore how microcontrollers are changing our everyday lives and why the future of tech innovation lies in physical computing.
7,Introduction to UX and Accessible Design Course - UAL Creative Computing Institute,Computer Course,FutureLearn,https://www.onlinestudies.com/Introduction-to-UX-and-Accessible-Design-Course-UAL-Creative-Computing-Institute/United-Kingdom/FutureLearn/,"Explore the world of user interfaces and accessible design, and discover how you can start a career as a UX designer."
8,"Introduction to Virtual, Augmented and Mixed Reality Course - Lancaster University",Computer Course,FutureLearn,https://www.onlinestudies.com/Introduction-to-Virtual-Augmented-and-Mixed-Reality-Course-Lancaster-University/United-Kingdom/FutureLearn/,Discover Extended Reality (XR) and learn how the power of this technology is being harnessed in a variety of industries.
9,Learn to Code for the Web Course - University of Leeds,Computer Course,FutureLearn,https://www.onlinestudies.com/Learn-to-Code-for-the-Web-Course-University-of-Leeds/United-Kingdom/FutureLearn/,"Ever wondered what's behind your favourite websites and apps? Get to grips with the basics of coding in HTML, CSS and JavaScript."
10,Supercomputing Course - The University of Edinburgh,Computer Course,FutureLearn,https://www.onlinestudies.com/Supercomputing-Course-The-University-of-Edinburgh/United-Kingdom/FutureLearn/,Discover how supercomputers work and the real-life scientific breakthroughs made possible by today’s computer simulations.
11,Teaching Physical Computing with Raspberry Pi and Python Course - Raspberry Pi Foundation,Computer Course,FutureLearn,https://www.onlinestudies.com/Teaching-Physical-Computing-with-Raspberry-Pi-and-Python-Course-Raspberry-Pi-Foundation/United-Kingdom/FutureLearn/,Explore the exciting world of physical computing and create electronic circuits that you can control with code.
12,Prepare to Run a Code Club Course - Raspberry Pi Foundation,Computer Course,FutureLearn,https://www.onlinestudies.com/Prepare-to-Run-a-Code-Club-Course-Raspberry-Pi-Foundation/United-Kingdom/FutureLearn/,Build your confidence and get practical advice on launching and running a Code Club for young people.
13,Programming for Everybody (Getting Started with Python) Course - University of Michigan,Computer Course,FutureLearn,https://www.onlinestudies.com/Programming-for-Everybody-(Getting-Started-with-Python)-Course-University-of-Michigan/USA/FutureLearn/,"Master the basics of Python programming, and learn how to use programming tools and variables with the University of Michigan."
14,Programming for Everybody: Python Data Structures Course - University of Michigan,Computer Course,FutureLearn,https://www.onlinestudies.com/Programming-for-Everybody-Python-Data-Structures-Course-University-of-Michigan/USA/FutureLearn/,Discover data structures and learn how they’re used in the Python programming language with experts at the University of Michigan.
15,Innovations in Investment Technology: Artificial Intelligence Course - University of Michigan,Computer Course,FutureLearn,https://www.onlinestudies.com/Innovations-in-Investment-Technology-Artificial-Intelligence-Course-University-of-Michigan/USA/FutureLearn/,Learn how artificial intelligence is transforming investment technology with this online course from the University of Michigan.
16,Design and Prototype Embedded Computer Systems Course - Raspberry Pi Foundation,Computer Course,FutureLearn,https://www.onlinestudies.com/Design-and-Prototype-Embedded-Computer-Systems-Course-Raspberry-Pi-Foundation/United-Kingdom/FutureLearn/,Discover embedded system design and work your way through the product design lifecycle. Supported by Google.
17,Digital Skills: Artificial Intelligence Course - Accenture,Computer Course,FutureLearn,https://www.onlinestudies.com/Digital-Skills-Artificial-Intelligence-Course-Accenture/United-Kingdom/FutureLearn/,Discover the ability of artificial intelligence to transform your everyday life and reshape the way you work.
18,Digital Skills: Mobile Course - Accenture,Computer Course,FutureLearn,https://www.onlinestudies.com/Digital-Skills-Mobile-Course-Accenture/United-Kingdom/FutureLearn/,"Learn about mobile design, development and creating mobile experiences, as well as bigger concepts related to mobile technology."
19,Getting Started with Your Raspberry Pi Course - Raspberry Pi Foundation,Computer Course,FutureLearn,https://www.onlinestudies.com/Getting-Started-with-Your-Raspberry-Pi-Course-Raspberry-Pi-Foundation/United-Kingdom/FutureLearn/,"Discover how to set up and control your new Raspberry Pi, as well as how to use it for everyday tasks and to learn how to code."
20,Computer Programming for Everyone Course - University of Leeds,Computer Course,FutureLearn,https://www.onlinestudies.com/Computer-Programming-for-Everyone-Course-University-of-Leeds/United-Kingdom/FutureLearn/,Discover the art of computer programming and learn what code can do with the Institute of Coding and the University of Leeds.
21,Create Accessible Interfaces Course - UAL Creative Computing Institute,Computer Course,FutureLearn,https://www.onlinestudies.com/Create-Accessible-Interfaces-Course-UAL-Creative-Computing-Institute/United-Kingdom/FutureLearn/,"Learn how to programme inclusive, creative interfaces for disabled users while meeting legal accessibility requirements."
22,Creating a Great User Experience for Mobile Apps Course - University of Leeds,Computer Course,FutureLearn,https://www.onlinestudies.com/Creating-a-Great-User-Experience-for-Mobile-Apps-Course-University-of-Leeds/United-Kingdom/FutureLearn/,Discover the essentials of user experience and bring your product to life by designing your own mobile application.
23,Creating an Inclusive Classroom: Approaches to Supporting Learners with SEND in Computing Course - Raspberry Pi Foundation,Computer Course,FutureLearn,https://www.onlinestudies.com/Creating-an-Inclusive-Classroom-Approaches-to-Supporting-Learners-with-SEND-in-Computing-Course-Raspberry-Pi-Foundation/United-Kingdom/FutureLearn/,Explore ways to make your computing lessons more inclusive for learners with special educational needs and disabilities.
24,Applications of AI Technology Course - Taipei Medical University,Computer Course,FutureLearn,https://www.onlinestudies.com/Applications-of-AI-Technology-Course-Taipei-Medical-University/Taiwan/FutureLearn/,"Taipei Medical University (TMU) has been a leader in Taiwan’s healthcare system for over half a century due to its research, teaching excellence, internationalization and outs                                            ...                                                    "
25,Apply Creative Machine Learning Course - UAL Creative Computing Institute,Computer Course,FutureLearn,https://www.onlinestudies.com/Apply-Creative-Machine-Learning-Course-UAL-Creative-Computing-Institute/United-Kingdom/FutureLearn/,Discover the creative side of machine learning with this free course using hands-on examples.
26,Artificial Intelligence for Healthcare: Opportunities and Challenges Course - Taipei Medical University,Computer Course,FutureLearn,https://www.onlinestudies.com/Artificial-Intelligence-for-Healthcare-Opportunities-and-Challenges-Course-Taipei-Medical-University/Taiwan/FutureLearn/,"The use of artificial intelligence (AI) in healthcare is increasing, explore the challenges and opportunities AI presents."
27,Understanding Quantum Computers Course - Keio University,Computer Course,FutureLearn,https://www.onlinestudies.com/Understanding-Quantum-Computers-Course-Keio-University/Japan/FutureLearn/,Explore the key concepts of quantum computing and find out how it’s changing computer science with this introductory course.
28,"Artificial Intelligence on Microsoft Azure: Machine Learning and Python Basics Course - CloudSwyft Global Systems, Inc.",Computer Course,FutureLearn,https://www.onlinestudies.com/Artificial-Intelligence-on-Microsoft-Azure-Machine-Learning-and-Python-Basics-Course-CloudSwyft-Global-Systems-Inc./Philippines/FutureLearn/,"Develop AI and machine learning skills using Python and Microsoft Azure, on the path to role-based certifications."
29,PRINCE2® 6th Edition: Foundation Certification with Official Manual and Exam Course - QA,Computer Course,FutureLearn,https://www.onlinestudies.com/PRINCE2®-6th-Edition-Foundation-Certification-with-Official-Manual-and-Exam-Course-QA/United-Kingdom/FutureLearn/,Earn a PRINCE2® certification with the UK’s leading project management training provider to advance your career.
30,"Data Science on Microsoft Azure: Big Data, Python and R Programming Course",Computer Course,FutureLearn,https://www.onlinestudies.com/Data-Science-on-Microsoft-Azure-Big-Data-Python-and-R-Programming-Course/United-Kingdom/FutureLearn/,Understand the role of data science within Microsoft Azure and discover the fundamentals of Python and R programming.
31,Artificial Intelligence in Health Care Online Short Course,Computer Course,MIT Sloan School of Management (Get Smarter),https://www.onlinestudies.com/Artificial-Intelligence-in-Health-Care-Online-Short-Course/USA/MIT-Sloan-School-of-Management-(Get-Smarter)/,"Understand the applications, opportunities, and transformative potential of AI in your health care context."
32,Oxford Algorithmic Trading Programme,Computer Course,"Saïd Business School, University of Oxford",https://www.onlinestudies.com/Oxford-Algorithmic-Trading-Programme/United-Kingdom/Saïd-Business-School-University-of-Oxford/,The Oxford Algorithmic Trading Programme aims to give participants a comprehensive overview and understanding of the rules that drive successful algorithmic trading strategies                                            ...                                                    
