,JobTitle,Company,Location,Year,Month,Day,JobDescription,Salary,Link
0,Motor Mechanic (Female Opportunity),DEFENCE JOBS - SYDNEY,SYDNEY,2020,10,17,"Opportunity As an Air Force Motor Mechanic help maintain a variety of vehicles and airfield support equipment, while enjoying: a good salary plus generous superannuation ongoing investment in your personal and career development free medical and dental job ...",Not provided,https://www.adzuna.com.au/land/ad/1744670536?se=Uh-FWSsQ6xGjOdrEuqZ9gA&v=71C551CC299656DCEA475146C26BB0DB1E49611C
1,Chaplain (Part-Time),"DEFENCE JOBS - TINDAL, NT","TINDAL, NT",2020,10,17,Your role: As an Air Force Chaplain you will take on a wide-range of responsibilities in a ministry without borders. You will play an Integral role addressing the spiritual needs of Air Force personnel. All members of the Air Force are encouraged to practice ...,Not provided,https://www.adzuna.com.au/land/ad/1744702753?se=Uh-FWSsQ6xGjOdrEuqZ9gA&v=44CF7A7DF00DCE647023C69C231E428639B77DD4
2,Warehouse Coordinator (Female Opportunity),DEFENCE JOBS - SYDNEY,SYDNEY,2020,10,17,"How many people can say that as part of their job they provide night vision goggles to help soldiers spot potential threats? If this sounds exciting and you’re seeking a unique opportunity where no two days are the same, then this could be the role for you. ...",Not provided,https://www.adzuna.com.au/land/ad/1744671494?se=Uh-FWSsQ6xGjOdrEuqZ9gA&v=9507AAF3475360077F9C335DDA9BE195083172F7
3,Marine Technician (Female Opportunity),DEFENCE JOBS - SUNSHINE COAST,SUNSHINE COAST,2020,10,17,"Your role: This highly exciting role you will be trained to operate, monitor and maintain a wide range of equipment in unique environments—on shore and on ship. The systems and machinery you’ll gain exposure to include, but not limited to: Main propulsion ...",Not provided,https://www.adzuna.com.au/land/ad/1744696355?se=Uh-FWSsQ6xGjOdrEuqZ9gA&v=C198BD0B8F63EB524E3FF4A3B9C3815CF6071BD1
4,Restaurant Manager,"MADRE LIEVITO PTY LTD - ADELAIDE CBD, ADELAIDE","ADELAIDE CBD, ADELAIDE",2020,10,17,Madre Lievito is seeking a Restaurant Manager for a full-time position of min 35 hours a week to join our team. A successful candidate will be responsible for leading and managing restaurant and be a point of accountability for the restaurant staff performance...,Not provided,https://www.adzuna.com.au/details/1747331326?se=Uh-FWSsQ6xGjOdrEuqZ9gA&v=368F27B1D3920B309817804760FCAC751CFAEDA9
5,Electronic Warfare Systems Operator (Female Opportunity),DEFENCE JOBS - PERTH,PERTH,2020,10,17,"Your role: You won’t find this job listed anywhere else. In this dynamic and challenging role, you’ll use sophisticated Electronic Warfare technology to provide vital support to Command. By detecting, identifying and locating a threat within the ship’s area, ...",Not provided,https://www.adzuna.com.au/land/ad/1744700969?se=Uh-FWSsQ6xGjOdrEuqZ9gA&v=3DBA51BD64B6613A4187859DCC8C56033C5CA7C3
6,Life Coaches Wanted,HEALTHY MIND COACH   MENS SANA - SOUTH AUSTRALIA,SOUTH AUSTRALIA,2020,10,17,"Are you passionate about driving the wellness, mindset and performance of individuals, businesses or groups? Do you wish to generate an income reflective of your skills and work ethic? Can you visualise working virtually and engaging with clients of all kinds...",Not provided,https://www.adzuna.com.au/land/ad/1736294547?se=Uh-FWSsQ6xGjOdrEuqZ9gA&v=8C9CD2E0E3A1FE2968314A9838E9F2B80FD523A8
7,WORK FROM HOME BUSINESS – CREATE SUCCESS ONLINE,A LIFE WITHOUT LIMITATIONS - SOUTH AUSTRALIA,SOUTH AUSTRALIA,2020,10,17,Create a lucrative income and a life to love working within a supportive community. Looking for a career change then this business might just be the answer. Simple Proven System – Full Training & Support Provided – Uncapped Earning Potential. Reap the benefits...,Not provided,https://www.adzuna.com.au/land/ad/1623529871?se=Uh-FWSsQ6xGjOdrEuqZ9gA&v=A5DCD131BD2543F0D4F7B64883EF716F3A95B017
8,Scheduler/Administrator,"PROGRAMMED - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Scheduler/Administrator - Adelaide SA Temporary Programmed Professionals and Kelly Services are one of Australia's largest and longest serving recruitment providers. Delivering both quality temporary and permanent options, we specialise in the recruitment of ...",Not provided,https://www.adzuna.com.au/land/ad/1720057231?se=Uh-FWSsQ6xGjOdrEuqZ9gA&v=E9888B58F3EEDC1ED7A3DE00AA01FFE6E24D05AC
9,Occupational Therapist - Community / NDIS - Adelaide SA,"MEDIRECRUIT - ADELAIDE, SA","ADELAIDE, SA",2020,10,17,"Our Client: Our client is an allied health operated business, whose mission is to connect with clients of all ages and disabilities, and provide them with high quality, responsive home-based services. Their rapidly growing practice, which delivers community ...",Not provided,https://www.adzuna.com.au/land/ad/1765354897?se=Uh-FWSsQ6xGjOdrEuqZ9gA&v=6E6733E3AD8C909894F4E022D0A7A2B446E6E2E4
